Ano,valor(mm)
1967,0
1968,41.4
1969,143.6
1970,179.5
1971,211.5
1972,571.5
1973,203.1
1974,352.6
1975,149.8
1976,134.7
1977,333.7
1978,381.4
1979,192.5
1980,290.5
1981,237.6
1982,532.3
1983,339.8
1984,443.6
1985,155
1986,258.8
1987,696.4
1988,108.3
1989,206.8
1990,133.4
1991,253.7
1992,365.8
1993,234.3
1994,174.9
1995,160.1
1996,134.8
1997,590.3
1998,71.6
1999,298.3
2000,376.6
2001,285
2002,491.4
2003,153.6
2004,278.5
2005,323.3
2006,275.9
2007,134.4
2008,223.9
2009,207.5
2010,161
2011,112.2
2012,166.2
2013,123.8
2014,151.4
2015,179.8
2016,218.6
2017,181.2
2018,117.2
2019,47.2
